Review,Class
la primera noche nos encontramos en la habitacion con un nido     de cucarachas muertas y la alfombra muy sucia   que por cierto nunca limpiaron hasta que reclamamos   la cena de fin de a o fue un bufete que acabo en un tremendo desorden por el excesivo numero de mesas vendidas  no se podia caminar para ir a servirte la comida  para luego encontrarte con bandejas vacias   mi esposa y yo y otra pareja  no cenamos  porque nos encontramos con puras bandejas vacias     pagamos       pesos por por pareja por nada     el servicio del restaurante pesimo  pesimo pesimo    se tardaron muchisimo tiempo en atendernos  nos trajeron el desayuno en partes  nunca nos dieron el cafe que pedimos desde que llegamos    un pesimo servicio  el frigobar vacio y despues de reclamar lo surtieron pero x     ,1
a una calle de catedral con platillos tradicionales  tipo gourmet  de buen sabor y calidad   si bien ofrecen una carta con los platillos mas representativos de cada temporada como mole de caderas  poblano  chinicuiles  chiles en nogada  escamoles y cemitas  son principalmente para degustacion  no   mas,5
porciones muy miserables  agua con sabor a cloro   muy distraidos los meseros   no llena las expectativas  hay mejores opciones,5
cartagena encanta  de todas las ciudades coloniales que hemos visitado es la mas linda y mejor conservada  recomiendo recorrerla tanto de dia como de noche ya que son visiones distintas que vale la pena vivir  llena de vida  tiendas  restaurantes  colorida  vibrante  calles y rincones que en cada momento guardan una sorpresa  mi calificacion habria sido excelente sino fuera por algunos detalles que deberian mejorar  lamentablemente falta preocupacion por la limpieza de las calles  problema que se repite en el resto de la ciudad  y un mejoramiento en los alcantarillados de las aguas servidas  ademas por la estrechez de las calles deberian habilitar vias exclusivas para peatones ,5
ibamos con mucha ilusion de disfrutar el espectaculo de luz y sonido pero la verdad nos decepciono te ubican en una esquina a la entrada de las ruinas y no al centro por lo que no puedes apreciar casi nada las personas se paran a tomar fotografias debido a que no se alcanza a ver nada si estas sentado al inicio y al final del espectaculo no dejan prendidas las luces para que puedas tomar fotografias  al contrario queda todo en obscuridad y las personas de la tercera edad tiene problemas para salir pues no iluminan ni el camino para salida  deberian poner aunque sea unas antorchas para iluminar la verdad no lo recomiendo es una pena que una maravilla como lo es chichen itza tenga un espectaculo tan carente  ,2
el sabado    de    del        desde que llegas el personal tiene el peor trato  no saben ingles  y al parecer tampoco espa ol    veces me preguntaron si mi reservacion era alli  como si despues de la   o   vez que me preguntaron mi respuesta seria diferente  por mas que les comprobe con boucher  intinerario y pago  no sabian en donde estaba mi reservacion  y decian que era hasta dentro de un mes  obvio fue error de ellos  pero nunca lo admitieron  llegue a las    pm y no me encontraron habitacion hasta la  pm  prometieron tenerla antes y no fue hasta despues de las   pm debido a la ocupacion que tenian  el hotel y los precios son de lujo pero el trato es de lo peor  tuve que hablar con   recepcionistas y nadie podia hacer nada  el gerente nunca llego  el supervisor nunca aparecio  y simplemente volteaban para otro lado cada ves que les poreguntaba por mi habitacion  practicamente   horas perdidas de mi dia  que no se pudo recuperar  en los restaurantes los meseros  sobretodo la ma ana volteaban para otro lado al momento de pedir servcio  por mas desocupado que estaba el lugar no ofrecian ni una mesa  pero si ven a un estado unidense pasar hasta alfombra roja le tendian  no entiendo por que en este pasi en esta zona en especial hay tan mal trato a sus propios paisanos   totalmente desagradable mi experiencia en este hotel  nada recomendable si eres de mexico   y no hay playa como lo dice en internet  te tienen que trasladar a el otro hotel para eso     ,1
excelente hotel  muchas atracciones a su alrededor  habitaciones muy comodas y limpias  en el lobby del hotel siempre hay cafe o algun tipo de jugo para los huespedes  el personal es de lo mejor  todos muy amables  cuando regrese a merida siempre sera mi casa  todo el personal  desde la chica que limpia hasta el manager del hotel siempre estan dispuestos a ayudar a los huespedes  mil gracias por todas las atenciones  siempre recomendare este hotel  john velez,5
ayer fui con unas amigas a cenar  vivimos aqui en vallarta  como no somos turistas nos trataron muy mal  aunque vestiamos mejor que ellos   desde la chica que recibe en la entrada nos trato fatal  aunque la comida estaba bien  no nos hicieron el show de flambeado en las fajitas en nuestra presencia como se lo hicieron a todos los turistas que estaban a nuestro alrededor  ademas al preguntarle al mesero nos dicen que si se hizo  nos vieron cara de tontas y nos dicen mentira  pues ninguna de nosotras lo vio hacer  es mas el plato no estaba tan caliente como debia estarlo si se hubiese hecho en el momento  la verdad no provocaba dejar propina  sin embargo lo hicimos  mi pregunta es  sera que piensan que no podemos pagar    lo que yo si se  es que no vuelvo  queria ir con mi esposo pero ya se me quitaron las ganas ,2
el personal de recepcion es grosero y desinteresado  pero las camareras  camareros y todo el personal era fabuloso  el hotel es precioso  pero las instalaciones y accesorios se caen a pedazos como es la habana  necesidades de un millon de dolares para poner justo  mi limpieza carlos era genial y me dejaron toallas modelos cada dia  me hubiera gustado ver fotos de  los coches clasicos  ver en fotos son un mito  son realmente cubos de oxido  cuba es el lugar mas caro que he visitado  ten cuidado  todo cuesta      incluso lindas fotos si trad vestidas con gente en la calle a tomar fotos estoy casi    y nunca volver de nuevo en mi vida porque le llevara    a os y miles de millones de dolares para restaurar esta ciudad beautifil,3
bueno  barato  no es de lujo  perfecta ubicacion para la vieja habana y vistas increibles  no esperes lujo  pero es un buen lugar para dormir  un buen desayuno y una impresionante vista del malecon  estaras bien en un lugar que es como la habana  no es nuevo  no son perfectas pero agradable  me alojaria aqui de nuevo ,4
